LocationType,Location,TimeFrame,DataFormat,Data
State,Michigan,2002,Number,129967
State,Michigan,1998,Number,133666
State,Michigan,1999,Number,133607
State,Michigan,2000,Number,136171
State,Michigan,1997,Number,133714
State,Michigan,1995,Number,134642
State,Michigan,1996,Number,133387
State,Michigan,1993,Number,139855
State,Michigan,1994,Number,138028
State,Michigan,1990,Number,153700
State,Michigan,1991,Number,150198
State,Michigan,1992,Number,144089
State,Minnesota,1992,Number,65607
State,Minnesota,1991,Number,67069
State,Minnesota,1990,Number,68013
State,Minnesota,1994,Number,64305
State,Minnesota,1993,Number,64648
State,Minnesota,1996,Number,63700
State,Minnesota,1995,Number,63263
State,Minnesota,1997,Number,64499
State,Minnesota,2000,Number,67604
State,Minnesota,1999,Number,65970
State,Minnesota,1998,Number,65202
State,Minnesota,2002,Number,68025
State,Minnesota,2001,Number,67562
State,Minnesota,2004,Number,70624
State,Minnesota,2003,Number,70050
State,Minnesota,2005,Number,70919
State,Minnesota,2008,Number,72421
State,Minnesota,2007,Number,73735
State,Minnesota,2006,Number,73525
State,Minnesota,2013,Number,69159
State,Minnesota,2009,Number,70646
State,Minnesota,2010,Number,68610
State,Minnesota,2015,Number,69834
State,Minnesota,2011,Number,68409
State,Minnesota,2012,Number,68772
State,Minnesota,2014,Number,69904
State,Minnesota,2016,Number,69749
State,Mississippi,2016,Number,37928
State,Mississippi,2014,Number,38736
State,Mississippi,2012,Number,38669
State,Mississippi,2011,Number,39860
State,Mississippi,2015,Number,38394
State,Mississippi,2010,Number,40036
State,Mississippi,2009,Number,42901
State,Mississippi,2013,Number,38634
State,Mississippi,2006,Number,46056
State,Mississippi,2007,Number,46491
State,Mississippi,2008,Number,44947
State,Mississippi,2005,Number,42395
State,Mississippi,2003,Number,42380
State,Mississippi,2004,Number,42827
State,Mississippi,2001,Number,42282
State,Mississippi,2002,Number,41518
State,Mississippi,1998,Number,42939
State,Mississippi,1999,Number,42684
State,Mississippi,2000,Number,44075
State,Mississippi,1997,Number,41533
State,Mississippi,1995,Number,41344
State,Mississippi,1996,Number,40987
State,Mississippi,1993,Number,42149
State,Mississippi,1994,Number,41954
State,Mississippi,1990,Number,43563
State,Mississippi,1991,Number,43204
State,Mississippi,1992,Number,42681
State,Missouri,1992,Number,76301
State,Missouri,1991,Number,78677
State,Missouri,1990,Number,79260
State,Missouri,1994,Number,73543
State,Missouri,1993,Number,75253
State,Missouri,1996,Number,73832
State,Missouri,1995,Number,73028
State,Missouri,1997,Number,74037
State,Missouri,2000,Number,76463
State,Missouri,1999,Number,75432
State,Missouri,1998,Number,75358
State,Missouri,2002,Number,75251
State,Missouri,2001,Number,75464
State,Missouri,2004,Number,77765
State,Missouri,2003,Number,77045
State,Missouri,2005,Number,78618
State,Missouri,2008,Number,80963
State,Missouri,2007,Number,81930
State,Missouri,2006,Number,81385
State,Missouri,2013,Number,75296
State,Missouri,2009,Number,78905
State,Missouri,2010,Number,76759
State,Missouri,2015,Number,75061
State,Missouri,2011,Number,76117
State,Missouri,2012,Number,75446
State,Missouri,2014,Number,75360
State,Missouri,2016,Number,74705
State,Montana,2016,Number,12282
State,Montana,2014,Number,12432
State,Montana,2012,Number,12118
State,Montana,2011,Number,12069
State,Montana,2015,Number,12583
State,Montana,2010,Number,12060
State,Montana,2009,Number,12257
State,Montana,2013,Number,12377
State,Montana,2006,Number,12508
State,Montana,2007,Number,12439
State,Montana,2008,Number,12594
State,Montana,2005,Number,11583
State,Montana,2003,Number,11422
State,Montana,2004,Number,11519
State,Montana,2001,Number,10970
State,Montana,2002,Number,11049
State,Montana,1998,Number,10795
State,Montana,1999,Number,10785
State,Montana,2000,Number,10957
State,Montana,1997,Number,10849
State,Montana,1995,Number,11142
State,Montana,1996,Number,10856
State,Montana,1993,Number,11365
State,Montana,1994,Number,11067
State,Montana,1990,Number,11613
State,Montana,1991,Number,11513
State,Montana,1992,Number,11472
State,Nebraska,1992,Number,23397
State,Nebraska,1991,Number,24017
State,Nebraska,1990,Number,24380
State,Nebraska,1994,Number,23156
State,Nebraska,1993,Number,23224
State,Nebraska,1996,Number,23286
State,Nebraska,1995,Number,23243
State,Nebraska,1997,Number,23319
State,Nebraska,2000,Number,24646
State,Nebraska,1999,Number,23907
State,Nebraska,1998,Number,23534
State,Nebraska,2002,Number,25383
State,Nebraska,2001,Number,24820
State,Nebraska,2004,Number,26332
State,Nebraska,2003,Number,25917
State,Nebraska,2005,Number,26145
State,Nebraska,2008,Number,26989
State,Nebraska,2007,Number,26934
State,Nebraska,2006,Number,26727
State,Nebraska,2013,Number,26095
State,Nebraska,2009,Number,26936
State,Nebraska,2010,Number,25918
State,Nebraska,2015,Number,26679
State,Nebraska,2011,Number,25720
State,Nebraska,2012,Number,25942
State,Nebraska,2014,Number,26794
State,Nebraska,2016,Number,26589
State,Nevada,2016,Number,36260
State,Nevada,2014,Number,35861
State,Nevada,2012,Number,34911
State,Nevada,2011,Number,35296
State,Nevada,2015,Number,36298
State,Nevada,2010,Number,35934
State,Nevada,2009,Number,37612
State,Nevada,2013,Number,35030
